FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_highschool,highschool,year
27,Minnesota,1602,3981,250,5354,2009
28,Mississippi,3293,7704,1889,9297,2009
29,Missouri,1647,3353,536,4512,2009
30,Montana,2352,5154,540,7069,2009
31,Nebraska,4298,11435,1195,14766,2009
32,Nevada,1268,2523,232,3595,2009
33,New Hampshire,1862,4069,368,5603,2009
34,New Jersey,3640,8385,905,11395,2009
35,New Mexico,2850,5865,970,7850,2009
36,New York,2224,4562,497,6412,2009
37,North Carolina,4026,9042,1739,11515,2009
38,North Dakota,1274,3424,366,4398,2009
39,Ohio,3131,6519,763,8974,2009
40,Oklahoma,2527,5197,903,6933,2009
41,Oregon,1245,2993,241,4025,2009
42,Pennsylvania,2834,6169,760,8400,2009
44,Rhode Island,2010,4213,549,5722,2009
45,South Carolina,2811,6757,1389,8446,2009
46,South Dakota,1669,5070,616,6199,2009
47,Tennessee,1388,4122,764,4789,2009
48,Texas,3633,7748,1465,10109,2009
49,Utah,3527,6470,539,9594,2009
50,Vermont,2165,4398,385,6267,2009
51,Virginia,1375,3703,539,4613,2009
53,Washington,6290,13728,1338,18896,2009
54,West Virginia,1326,3435,691,4119,2009
55,Wisconsin,1456,3061,312,4201,2009
56,Wyoming,1817,4148,318,5725,2009
66,Guam,261,986,139,1123,2009
72,Puerto Rico,920,3216,1267,2966,2009
1,Alabama,2217,4117,992,5484,2008
2,Alaska,830,1736,200,2457,2008
4,Arizona,1871,4204,789,5356,2008
5,Arkansas,1680,3892,758,4928,2008
6,California,4163,7332,1548,9907,2008
8,Colorado,3636,7960,751,10993,2008
9,Connecticut,1948,4128,435,5701,2008
10,Delaware,1187,2799,270,3750,2008
11,District of Columbia,1326,2846,334,3895,2008
12,Florida,2975,7660,1297,9513,2008
13,Georgia,1679,3928,713,4982,2008
15,Hawaii,1966,4421,327,6115,2008
16,Idaho,1691,3341,407,4693,2008
17,Illinois,1843,3289,387,4767,2008
18,Indiana,1574,3240,508,4382,2008
19,Iowa,1659,4227,349,5644,2008
20,Kansas,2257,6252,548,8076,2008
21,Kentucky,2966,5040,1233,6837,2008
22,Louisiana,1518,4565,670,5488,2008
23,Maine,2171,4542,411,6367,2008
24,Maryland,3195,6175,655,8810,2008
25,Massachusetts,6642,13575,2239,18218,2008
26,Michigan,3120,6198,688,8741,2008
27,Minnesota,1207,3068,214,4066,2008
28,Mississippi,2425,5361,1363,6575,2008
29,Missouri,1689,3391,558,4595,2008
30,Montana,2124,4608,481,6351,2008
31,Nebraska,4254,11782,1350,14888,2008
32,Nevada,1690,3032,420,4341,2008
33,New Hampshire,2211,4591,400,6479,2008
34,New Jersey,3344,8184,1006,10633,2008
35,New Mexico,1994,4168,841,5380,2008
36,New York,2541,5213,582,7313,2008
37,North Carolina,4772,10787,2266,13530,2008
38,North Dakota,1353,3589,383,4643,2008
39,Ohio,4280,8495,1010,11930,2008
40,Oklahoma,2499,5179,978,6826,2008
41,Oregon,1417,3329,301,4473,2008
42,Pennsylvania,4219,8720,1212,11938,2008
44,Rhode Island,1583,3146,462,4308,2008
45,South Carolina,3045,6867,1396,8784,2008
46,South Dakota,1779,5118,609,6366,2008
47,Tennessee,1337,3613,721,4280,2008
48,Texas,3175,7397,1647,9020,2008
49,Utah,1936,3318,319,5005,2008
50,Vermont,2214,4409,419,6320,2008
51,Virginia,1596,3634,569,4716,2008
53,Washington,7099,15149,1585,20864,2008
54,West Virginia,1264,2828,617,3542,2008
55,Wisconsin,2343,4673,551,6489,2008
56,Wyoming,2468,5412,472,7517,2008
66,Guam,221,563,106,683,2008
72,Puerto Rico,1140,3246,1365,3104,2008
1,Alabama,2342,4721,1219,6014,2007
2,Alaska,821,1629,207,2338,2007
4,Arizona,1522,3135,566,4150,2007
5,Arkansas,1780,3808,694,5022,2007
6,California,2065,3599,746,4886,2007
8,Colorado,3804,7957,779,11114,2007
9,Connecticut,2334,5086,558,6940,2007
10,Delaware,1306,2666,280,3708,2007
11,District of Columbia,1256,2657,328,3615,2007
12,Florida,10994,27692,4987,34340,2007
13,Georgia,2469,5079,892,6784,2007
15,Hawaii,1938,4608,343,6251,2007
16,Idaho,1739,3495,468,4834,2007
17,Illinois,1835,3366,370,4863,2007
18,Indiana,1958,3931,610,5371,2007
19,Iowa,1388,3947,413,4993,2007
20,Kansas,2221,6152,622,7860,2007
21,Kentucky,1909,4821,1332,5539,2007
22,Louisiana,1514,4965,819,5848,2007
23,Maine,2176,4544,470,6353,2007
24,Maryland,2848,5856,662,8138,2007
25,Massachusetts,6914,14284,2072,19380,2007
26,Michigan,2616,4762,573,6903,2007
27,Minnesota,1345,3413,261,4509,2007
28,Mississippi,2447,5195,1402,6404,2007
29,Missouri,1750,3456,601,4655,2007
30,Montana,1919,3992,409,5574,2007
31,Nebraska,2856,7922,923,9999,2007
32,Nevada,1533,2549,402,3700,2007
33,New Hampshire,1940,3973,394,5582,2007
34,New Jersey,2278,4851,634,6586,2007
35,New Mexico,2112,4407,878,5720,2007
36,New York,2087,4305,525,5983,2007
37,North Carolina,4316,10194,2134,12623,2007
38,North Dakota,1318,3338,385,4362,2007
39,Ohio,3749,7271,916,10285,2007
40,Oklahoma,2305,5012,962,6483,2007
41,Oregon,1519,3371,342,4592,2007
42,Pennsylvania,4220,8754,1241,11967,2007
44,Rhode Island,1464,2970,449,4038,2007
45,South Carolina,3100,7042,1343,9021,2007
46,South Dakota,1716,5034,646,6213,2007
47,Tennessee,1301,3652,749,4267,2007
48,Texas,5161,11750,2841,14348,2007
49,Utah,1750,3216,309,4758,2007
50,Vermont,2178,4654,477,6449,2007
51,Virginia,1861,4245,660,5522,2007
53,Washington,8381,17165,1605,24188,2007
54,West Virginia,1285,3101,687,3753,2007
55,Wisconsin,2306,5063,612,6792,2007
56,Wyoming,1968,4098,382,5767,2007
66,Guam,170,473,81,568,2007
72,Puerto Rico,1031,2801,1134,2792,2007
