FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_fruit,have_fruit,have_no_vegetables,have_vegetables,year,p_have_mentalhealth,p_have_no_mentalhealth,p_have_fruit,p_have_no_fruit,p_have_vegetables,p_have_no_vegetables
54,West Virginia,1835,3963,283,5438,759,4968,2013,0.3164884442911349,0.6835115557088651,0.9505331235797937,0.04946687642020626,0.8674698795180723,0.13253012048192772
55,Wisconsin,2096,4429,192,5715,567,5318,2013,0.32122605363984674,0.6787739463601532,0.9674961909598782,0.03250380904012189,0.9036533559898046,0.09634664401019541
56,Wyoming,1744,4612,199,5831,520,5498,2013,0.27438640654499685,0.7256135934550031,0.9669983416252073,0.0330016583747927,0.9135925556663343,0.08640744433366566
66,Guam,616,1263,56,1695,92,1646,2013,0.32783395423097395,0.672166045769026,0.9680182752712736,0.03198172472872644,0.9470655926352128,0.05293440736478711
72,Puerto Rico,1402,4557,515,5311,1614,4259,2013,0.23527437489511663,0.7647256251048834,0.9116031582560934,0.08839684174390662,0.725183041035246,0.27481695896475394
1,Alabama,3217,5606,-1,-1,-1,-1,2012,0.36461521024594806,0.6353847897540519,0.5,0.5,0.5,0.5
2,Alaska,1250,3005,-1,-1,-1,-1,2012,0.2937720329024677,0.7062279670975323,0.5,0.5,0.5,0.5
4,Arizona,2281,4907,-1,-1,-1,-1,2012,0.3173344462993879,0.6826655537006121,0.5,0.5,0.5,0.5
5,Arkansas,1755,3305,-1,-1,-1,-1,2012,0.3468379446640316,0.6531620553359684,0.5,0.5,0.5,0.5
6,California,5223,9272,-1,-1,-1,-1,2012,0.36033114867195587,0.6396688513280442,0.5,0.5,0.5,0.5
8,Colorado,3921,8180,-1,-1,-1,-1,2012,0.324022808032394,0.675977191967606,0.5,0.5,0.5,0.5
9,Connecticut,2873,5759,-1,-1,-1,-1,2012,0.3328313253012048,0.6671686746987951,0.5,0.5,0.5,0.5
10,Delaware,1581,3561,-1,-1,-1,-1,2012,0.3074679113185531,0.6925320886814469,0.5,0.5,0.5,0.5
11,District of Columbia,1164,2576,-1,-1,-1,-1,2012,0.31122994652406416,0.6887700534759358,0.5,0.5,0.5,0.5
12,Florida,2421,4993,-1,-1,-1,-1,2012,0.32654437550579984,0.6734556244942002,0.5,0.5,0.5,0.5
13,Georgia,1802,4194,-1,-1,-1,-1,2012,0.3005336891260841,0.699466310873916,0.5,0.5,0.5,0.5
