FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_alcohol,have_alcohol,no_smoker,smoker,year,p_have_mentalhealth,p_have_no_mentalhealth,p_have_alcohol,p_have_no_alcohol,p_smoker,p_no_smoker
54,West Virginia,1835,3963,3948,1810,4453,1388,2013,0.3164884442911349,0.6835115557088651,0.31434525877040637,0.6856547412295936,0.23763054271528847,0.7623694572847115
55,Wisconsin,2096,4429,2350,3812,5183,1066,2013,0.32122605363984674,0.6787739463601532,0.6186303148328465,0.3813696851671535,0.17058729396703473,0.8294127060329652
56,Wyoming,1744,4612,3246,2980,5342,973,2013,0.27438640654499685,0.7256135934550031,0.47863796980404755,0.5213620301959525,0.15407759303246238,0.8459224069675376
66,Guam,616,1263,1061,736,1401,434,2013,0.32783395423097395,0.672166045769026,0.4095715080690039,0.5904284919309961,0.23651226158038147,0.7634877384196185
72,Puerto Rico,1402,4557,4344,1518,5464,502,2013,0.23527437489511663,0.7647256251048834,0.25895598771750256,0.7410440122824974,0.08414347971840429,0.9158565202815957
1,Alabama,3217,5606,5800,2863,7270,1643,2012,0.36461521024594806,0.6353847897540519,0.33048597483550735,0.6695140251644927,0.18433748457309548,0.8156625154269045
2,Alaska,1250,3005,1906,2257,3425,842,2012,0.2937720329024677,0.7062279670975323,0.5421570982464569,0.45784290175354314,0.19732833372392783,0.8026716662760722
4,Arizona,2281,4907,3522,3495,6049,1091,2012,0.3173344462993879,0.6826655537006121,0.49807610089781956,0.5019238991021804,0.15280112044817928,0.8471988795518207
5,Arkansas,1755,3305,3284,1721,4062,1017,2012,0.3468379446640316,0.6531620553359684,0.3438561438561439,0.6561438561438562,0.2002362669816893,0.7997637330183107
6,California,5223,9272,5449,7115,12911,1632,2012,0.36033114867195587,0.6396688513280442,0.5663005412289079,0.433699458771092,0.11221893694560957,0.8877810630543904
8,Colorado,3921,8180,4659,6865,9920,1737,2012,0.324022808032394,0.675977191967606,0.5957132939951406,0.40428670600485944,0.14900917903405678,0.8509908209659433
9,Connecticut,2873,5759,3194,5256,7426,1183,2012,0.3328313253012048,0.6671686746987951,0.6220118343195267,0.3779881656804734,0.13741433383668253,0.8625856661633174
10,Delaware,1581,3561,2354,2740,4291,855,2012,0.3074679113185531,0.6925320886814469,0.5378877110325874,0.46211228896741263,0.16614846482705015,0.8338515351729499
11,District of Columbia,1164,2576,1424,2217,3212,508,2012,0.31122994652406416,0.6887700534759358,0.6088986542158747,0.39110134578412525,0.13655913978494624,0.8634408602150537
12,Florida,2421,4993,3596,3727,6342,1123,2012,0.32654437550579984,0.6734556244942002,0.5089444216851018,0.49105557831489827,0.15043536503683858,0.8495646349631614
13,Georgia,1802,4194,3352,2463,4924,970,2012,0.3005336891260841,0.699466310873916,0.4235597592433362,0.5764402407566638,0.16457414319647098,0.835425856803529
15,Hawaii,2174,5326,3562,3845,6438,1057,2012,0.28986666666666666,0.7101333333333333,0.5191035506952882,0.48089644930471176,0.14102735156771182,0.8589726484322882
16,Idaho,1933,3836,3273,2457,5001,793,2012,0.3350667360027734,0.6649332639972265,0.42879581151832463,0.5712041884816754,0.1368657231618916,0.8631342768381084
17,Illinois,1923,3631,2457,3027,4734,796,2012,0.3462369463449766,0.6537630536550234,0.5519693654266958,0.44803063457330417,0.14394213381555154,0.8560578661844485
18,Indiana,3049,5413,4636,3757,6750,1761,2012,0.3603167099976365,0.6396832900023635,0.447634933873466,0.552365066126534,0.20690870637997885,0.7930912936200212
19,Iowa,1943,5129,3249,3680,5957,1058,2012,0.2747454751131222,0.7252545248868778,0.5311011689998557,0.46889883100014434,0.15081967213114755,0.8491803278688524
20,Kansas,3168,8465,6182,5398,9866,1843,2012,0.27232872002063097,0.7276712799793691,0.46614853195164074,0.5338514680483593,0.15740029037492528,0.8425997096250747
21,Kentucky,3888,7110,7370,3343,8316,2551,2012,0.353518821603928,0.646481178396072,0.31205077942686454,0.6879492205731355,0.23474740038649122,0.7652525996135088
22,Louisiana,2700,6234,5544,3253,7291,1706,2012,0.3022162525184688,0.6977837474815313,0.3697851540297829,0.6302148459702172,0.18961876180949205,0.810381238190508
23,Maine,3352,6407,4134,5574,8208,1602,2012,0.3434778153499334,0.6565221846500666,0.5741656365883807,0.4258343634116193,0.163302752293578,0.8366972477064221
24,Maryland,3715,8834,5620,6596,10752,1704,2012,0.2960395250617579,0.7039604749382421,0.5399476096922069,0.46005239030779305,0.13680154142581888,0.8631984585741811
25,Massachusetts,7228,14121,8305,12096,17479,3203,2012,0.3385638671600543,0.6614361328399456,0.5929121121513651,0.40708788784863487,0.15486896818489507,0.845131031815105
26,Michigan,3536,6842,4782,5433,8526,1835,2012,0.3407207554442089,0.6592792445557911,0.5318649045521292,0.4681350954478708,0.1771064569057041,0.822893543094296
27,Minnesota,3634,8444,4435,7270,9966,1923,2012,0.3008776287464812,0.6991223712535188,0.6211020931225972,0.3788979068774028,0.16174615190512237,0.8382538480948776
28,Mississippi,2245,5376,5303,2267,6278,1422,2012,0.2945807636793072,0.7054192363206928,0.29947159841479526,0.7005284015852048,0.1846753246753247,0.8153246753246753
29,Missouri,2040,4609,3801,2778,5309,1352,2012,0.3068130545946759,0.6931869454053241,0.4222526219790242,0.5777473780209759,0.2029725266476505,0.7970274733523495
30,Montana,2710,5824,3726,4720,7044,1520,2012,0.317553316147176,0.682446683852824,0.5588444233956903,0.4411555766043097,0.17748715553479683,0.8225128444652032
31,Nebraska,5412,13523,8550,10188,15954,3031,2012,0.28581991021917086,0.7141800897808291,0.5437079731027857,0.4562920268972142,0.1596523571240453,0.8403476428759546
32,Nevada,1658,3101,2119,2528,3927,851,2012,0.3483925194368565,0.6516074805631435,0.544006886163116,0.455993113836884,0.17810799497697782,0.8218920050230222
33,New Hampshire,2319,5105,2870,4415,6414,1007,2012,0.31236530172413796,0.6876346982758621,0.6060398078242965,0.3939601921757035,0.13569599784395633,0.8643040021560436
34,New Jersey,4574,10828,6212,8482,12724,2285,2012,0.2969744189066355,0.7030255810933645,0.57724241186879,0.42275758813121,0.15224198814044906,0.8477580118595509
35,New Mexico,2870,5804,4618,3766,7161,1466,2012,0.3308738759511183,0.6691261240488817,0.4491889312977099,0.5508110687022901,0.16993161006143503,0.830068389938565
36,New York,2135,3765,2478,3340,5045,880,2012,0.36186440677966103,0.638135593220339,0.5740804400137505,0.4259195599862496,0.14852320675105485,0.8514767932489451
37,North Carolina,3504,8178,6712,4623,9573,2154,2012,0.29994863893168977,0.7000513610683102,0.407851786501985,0.592148213498015,0.18367869020209773,0.8163213097979023
38,North Dakota,1387,3389,2020,2734,4019,798,2012,0.2904103852596315,0.7095896147403685,0.5750946571308372,0.4249053428691628,0.16566327589786173,0.8343367241021382
39,Ohio,4120,8667,6351,6113,10171,2474,2012,0.3222022366465942,0.6777977633534058,0.4904525032092426,0.5095474967907574,0.19565045472518783,0.8043495452748122
40,Oklahoma,2529,5378,4909,2948,6312,1636,2012,0.31984317693183256,0.6801568230681675,0.3752068219422171,0.6247931780577829,0.2058379466532461,0.7941620533467539
41,Oregon,1834,3362,2134,2938,4449,721,2012,0.35296381832178597,0.647036181678214,0.5792586750788643,0.42074132492113564,0.13945841392649902,0.860541586073501
42,Pennsylvania,6351,13185,9095,10176,16011,3610,2012,0.32509213759213756,0.6749078624078624,0.5280473249961082,0.4719526750038919,0.183986545028286,0.816013454971714
44,Rhode Island,1860,3531,2077,3199,4555,828,2012,0.34501947690595436,0.6549805230940456,0.606330553449583,0.39366944655041697,0.15381757384358163,0.8461824261564184
45,South Carolina,3946,8552,7114,5234,10363,2172,2012,0.3157305168827012,0.6842694831172987,0.4238743116294137,0.5761256883705863,0.17327483047467093,0.826725169525329
46,South Dakota,2006,5743,3560,4105,6334,1444,2012,0.2588721125306491,0.7411278874693509,0.5355512067840835,0.4644487932159165,0.18565183851889946,0.8143481614811006
47,Tennessee,1932,4976,4536,2082,5299,1481,2012,0.2796757382744644,0.7203242617255357,0.314596554850408,0.6854034451495921,0.21843657817109144,0.7815634218289086
48,Texas,2853,6080,4680,4099,7635,1328,2012,0.31937758871599686,0.6806224112840031,0.4669096708053309,0.5330903291946691,0.14816467700546693,0.8518353229945331
