FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_highschool,highschool,year,p_have_mentalhealth,p_have_no_mentalhealth,p_highschool,p_no_highschool
27,Minnesota,4638,11551,669,15664,2014,0.28649082710482426,0.7135091728951758,0.9590399804077634,0.04096001959223658
28,Mississippi,1131,2993,582,3598,2014,0.27424830261881666,0.7257516973811833,0.8607655502392344,0.13923444976076554
29,Missouri,2049,4921,703,6334,2014,0.293974175035868,0.706025824964132,0.900099474207759,0.09990052579224101
30,Montana,2078,5283,481,6988,2014,0.282298600733596,0.717701399266404,0.9356004819922346,0.06439951800776543
31,Nebraska,5764,16368,1346,20973,2014,0.26043737574552683,0.7395626242544732,0.9396926385590753,0.06030736144092477
32,Nevada,1230,2458,318,3417,2014,0.3335140997830803,0.6664859002169198,0.914859437751004,0.08514056224899598
33,New Hampshire,1768,4323,291,5849,2014,0.2902643244130685,0.7097356755869315,0.9526058631921824,0.04739413680781759
34,New Jersey,3795,9000,938,11920,2014,0.2966002344665885,0.7033997655334114,0.9270493078239228,0.07295069217607715
35,New Mexico,2626,6206,1063,7734,2014,0.2973278985507246,0.7026721014492754,0.8791633511424349,0.12083664885756508
36,New York,2200,4473,604,6169,2014,0.32968679754233476,0.6703132024576652,0.9108223829912889,0.08917761700871106
37,North Carolina,2068,5114,899,6330,2014,0.2879420774157616,0.7120579225842384,0.8756397842025176,0.12436021579748237
38,North Dakota,2034,5601,472,7262,2014,0.26640471512770136,0.7335952848722986,0.938970778381174,0.061029221618825964
39,Ohio,3504,7204,842,10035,2014,0.32723197609264104,0.672768023907359,0.9225889491587754,0.0774110508412246
40,Oklahoma,2538,5800,832,7581,2014,0.3043895418565603,0.6956104581434397,0.9011054320694164,0.09889456793058363
41,Oregon,1824,3313,285,4903,2014,0.3550710531438583,0.6449289468561418,0.9450655358519661,0.05493446414803393
42,Pennsylvania,3461,7283,774,10132,2014,0.32213328369322414,0.6778667163067759,0.9290298918026775,0.07097010819732258
44,Rhode Island,1947,4396,503,5885,2014,0.3069525461138263,0.6930474538861737,0.9212586098935505,0.0787413901064496
45,South Carolina,3393,7406,1288,9667,2014,0.3141957588665617,0.6858042411334383,0.8824281150159744,0.11757188498402556
46,South Dakota,1772,5532,496,6870,2014,0.24260679079956188,0.7573932092004381,0.93266358946511,0.06733641053489003
47,Tennessee,1555,3477,650,4450,2014,0.30902225755166934,0.6909777424483307,0.8725490196078431,0.12745098039215685
48,Texas,3993,11016,2108,13166,2014,0.26604037577453526,0.7339596242254647,0.8619876915018987,0.13801230849810134
49,Utah,5187,9665,780,14130,2014,0.3492458928090493,0.6507541071909507,0.9476861167002012,0.052313883299798795
50,Vermont,2044,4357,314,6114,2014,0.3193251054522731,0.6806748945477269,0.9511512134411948,0.04884878655880523
51,Virginia,2467,6845,771,8641,2014,0.2649269759450172,0.7350730240549829,0.918083297917552,0.08191670208244795
53,Washington,3254,6710,496,9535,2014,0.32657567242071456,0.6734243275792854,0.9505532848170671,0.04944671518293291
54,West Virginia,1948,4149,763,5412,2014,0.3195013941282598,0.6804986058717402,0.8764372469635627,0.12356275303643725
55,Wisconsin,2169,4826,386,6614,2014,0.3100786275911365,0.6899213724088634,0.9448571428571428,0.055142857142857146
56,Wyoming,1671,4633,344,6019,2014,0.2650697969543147,0.7349302030456852,0.9459374508879459,0.05406254911205406
66,Guam,798,1699,232,2266,2014,0.3195835002002403,0.6804164997997597,0.9071257005604484,0.09287429943955164
72,Puerto Rico,1258,4679,1268,4696,2014,0.21189152770759642,0.7881084722924036,0.7873910127431254,0.21260898725687458
1,Alabama,2131,4203,798,5688,2013,0.3364382696558257,0.6635617303441743,0.8769657724329325,0.12303422756706753
2,Alaska,1426,3079,273,4294,2013,0.3165371809100999,0.6834628190899001,0.9402233413619444,0.05977665863805562
4,Arizona,1314,2866,388,3844,2013,0.31435406698564594,0.6856459330143541,0.9083175803402647,0.09168241965973535
5,Arkansas,1616,3523,637,4610,2013,0.3144580657715509,0.6855419342284491,0.8785972936916333,0.12140270630836669
6,California,4090,7320,1456,9871,2013,0.3584574934268186,0.6415425065731815,0.8714575792354551,0.1285424207645449
8,Colorado,4262,9191,774,12796,2013,0.3168066602244852,0.6831933397755148,0.9429624170965365,0.05703758290346352
9,Connecticut,2456,5136,506,7181,2013,0.32349841938883034,0.6765015806111696,0.9341745804605177,0.06582541953948225
10,Delaware,1573,3561,410,4759,2013,0.30638878067783404,0.693611219322166,0.9206809827819694,0.07931901721803057
11,District of Columbia,1405,3427,318,4586,2013,0.2907698675496689,0.7092301324503312,0.9351549755301795,0.06484502446982056
12,Florida,10129,23098,3380,30634,2013,0.30484244740722904,0.6951575525927709,0.9006291527018286,0.09937084729817135
13,Georgia,2383,5599,922,7156,2013,0.29854673014282135,0.7014532698571787,0.8858628373359743,0.11413716266402575
15,Hawaii,2121,5662,341,7503,2013,0.27251702428369523,0.7274829757163047,0.9565272819989801,0.043472718001019886
16,Idaho,1823,3700,424,5188,2013,0.3300742350172008,0.6699257649827992,0.924447612259444,0.07555238774055595
17,Illinois,1904,3660,358,5242,2013,0.3421998562185478,0.6578001437814522,0.9360714285714286,0.06392857142857143
18,Indiana,3253,6835,941,9369,2013,0.32246233148295006,0.67753766851705,0.908729388942774,0.09127061105722599
19,Iowa,2139,5919,491,7657,2013,0.2654504839910648,0.7345495160089353,0.9397398134511536,0.060260186548846344
20,Kansas,6341,16631,1571,21669,2013,0.27603169075396133,0.7239683092460386,0.9324010327022375,0.06759896729776248
21,Kentucky,3734,7117,1288,9659,2013,0.3441157497004884,0.6558842502995116,0.8823421942084589,0.11765780579154106
22,Louisiana,1557,3590,539,4704,2013,0.3025063143578784,0.6974936856421217,0.897196261682243,0.102803738317757
23,Maine,2556,5394,418,7659,2013,0.32150943396226417,0.6784905660377358,0.9482481119227436,0.051751888077256405
24,Maryland,3794,8985,876,12031,2013,0.29689334063698253,0.7031066593630174,0.9321298520182847,0.06787014798171535
25,Massachusetts,5097,9695,1336,13601,2013,0.3445781503515414,0.6554218496484586,0.9105576755707304,0.0894423244292696
26,Michigan,4171,8430,669,12057,2013,0.3310054757558924,0.6689945242441077,0.9474304573314475,0.05256954266855257
27,Minnesota,4067,10091,597,13668,2013,0.28725808730046615,0.7127419126995338,0.958149316508938,0.04185068349106204
28,Mississippi,2117,5181,1201,6222,2013,0.2900794738284462,0.7099205261715539,0.838205577259868,0.16179442274013203
29,Missouri,2127,4901,739,6359,2013,0.3026465566306204,0.6973534433693797,0.8958861651169343,0.10411383488306565
30,Montana,2912,6654,700,8971,2013,0.30441145724440727,0.6955885427555927,0.927618653706959,0.07238134629304105
31,Nebraska,4516,12373,1088,15972,2013,0.2673929776777784,0.7326070223222215,0.9362250879249707,0.0637749120750293
32,Nevada,1662,3341,356,4728,2013,0.33220067959224464,0.6677993204077554,0.9299763965381589,0.07002360346184107
33,New Hampshire,1891,4487,332,6106,2013,0.2964879272499216,0.7035120727500784,0.9484311898105001,0.051568810189499846
34,New Jersey,3991,9005,1035,12196,2013,0.30709449061249616,0.6929055093875038,0.9217746202101126,0.07822537978988739
35,New Mexico,2800,6364,1197,8100,2013,0.30554343081623747,0.6944565691837625,0.8712487899322362,0.1287512100677638
36,New York,2912,5818,891,8025,2013,0.3335624284077892,0.6664375715922107,0.9000672947510094,0.09993270524899057
37,North Carolina,2507,6195,1195,7653,2013,0.28809469087566075,0.7119053091243392,0.8649412296564195,0.13505877034358046
38,North Dakota,2111,5506,523,7258,2013,0.2771432322436655,0.7228567677563346,0.9327849890759542,0.06721501092404575
39,Ohio,3620,8131,918,10975,2013,0.30805888860522507,0.6919411113947749,0.9228117379971412,0.07718826200285882
40,Oklahoma,2502,5612,908,7320,2013,0.3083559280256347,0.6916440719743653,0.8896451142440447,0.11035488575595527
41,Oregon,2149,3712,287,5640,2013,0.36666097935505887,0.6333390206449412,0.9515775265733086,0.04842247342669141
42,Pennsylvania,3683,7510,888,10491,2013,0.32904493880103636,0.6709550611989636,0.9219615080411284,0.07803849195887161
44,Rhode Island,2058,4370,556,5955,2013,0.32016179215930307,0.6798382078406969,0.9146060512978037,0.08539394870219628
45,South Carolina,3218,7283,1284,9399,2013,0.30644700504713834,0.6935529949528616,0.8798090424038192,0.12019095759618084
46,South Dakota,1717,5101,510,6374,2013,0.25183338222352597,0.7481666177764741,0.9259151656013945,0.07408483439860546
47,Tennessee,1622,4081,707,5063,2013,0.28441171313343855,0.7155882868665615,0.8774696707105719,0.12253032928942807
48,Texas,2805,7799,1685,9181,2013,0.2645228215767635,0.7354771784232366,0.8449291367568562,0.15507086324314376
49,Utah,4544,8047,642,12089,2013,0.36089270113573185,0.6391072988642681,0.9495719110831827,0.050428088916817215
50,Vermont,2004,4299,355,6020,2013,0.3179438362684436,0.6820561637315564,0.9443137254901961,0.05568627450980392
51,Virginia,2403,5908,767,7617,2013,0.28913488148237276,0.7108651185176272,0.9085162213740458,0.09148377862595419
