FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_workout,workout,year,p_have_mentalhealth,p_have_no_mentalhealth,p_workout,p_no_workout
6,California,3951,7355,2231,9155,2016,0.3494604634707235,0.6505395365292765,0.8040576146144388,0.19594238538556122
8,Colorado,4918,9801,2470,12468,2016,0.33412595964399755,0.6658740403560024,0.834649886196278,0.16535011380372205
9,Connecticut,3358,7525,2376,8657,2016,0.30855462648166865,0.6914453735183314,0.7846460618145563,0.21535393818544366
10,Delaware,1098,2883,1197,2856,2016,0.27581009796533534,0.7241899020346647,0.7046632124352331,0.29533678756476683
11,District of Columbia,1224,2545,718,3125,2016,0.32475457681082515,0.6752454231891748,0.8131667967733541,0.18683320322664584
12,Florida,10026,26139,12248,24620,2016,0.27722936540854415,0.7227706345914559,0.6677877834436368,0.33221221655636324
13,Georgia,1511,3764,1703,3669,2016,0.2864454976303318,0.7135545023696682,0.6829858525688757,0.3170141474311243
15,Hawaii,2388,5648,1566,6520,2016,0.2971627675460428,0.7028372324539572,0.806331931733861,0.193668068266139
16,Idaho,1711,3437,1233,4016,2016,0.33236208236208237,0.6676379176379177,0.7650981139264622,0.23490188607353782
17,Illinois,1588,3126,1171,3591,2016,0.336868901145524,0.6631310988544761,0.754094918101638,0.24590508189836202
18,Indiana,3468,7395,3207,7835,2016,0.3192488262910798,0.6807511737089202,0.7095634848759282,0.2904365151240717
19,Iowa,1916,5233,1823,5429,2016,0.26800951181983496,0.7319904881801651,0.7486210700496415,0.25137892995035854
20,Kansas,3342,8613,3023,9134,2016,0.2795483061480552,0.7204516938519447,0.7513366784568561,0.24866332154314386
21,Kentucky,3236,6872,3124,7129,2016,0.32014246141669966,0.6798575385833003,0.6953086901394714,0.3046913098605286
22,Louisiana,1743,3416,1671,3579,2016,0.3378561736770692,0.6621438263229308,0.6817142857142857,0.3182857142857143
23,Maine,3315,6558,2109,7895,2016,0.33576420540869034,0.6642357945913097,0.7891843262694922,0.2108156737305078
24,Maryland,5588,12647,4572,13876,2016,0.30644365231697285,0.6935563476830271,0.7521682567215958,0.24783174327840415
25,Massachusetts,2853,5347,1758,6635,2016,0.34792682926829266,0.6520731707317073,0.7905397354938639,0.20946026450613606
26,Michigan,4091,7777,2827,9188,2016,0.34470845972362657,0.6552915402763735,0.7647107781939243,0.23528922180607573
27,Minnesota,4923,11677,3109,13689,2016,0.296566265060241,0.703433734939759,0.8149184426717466,0.18508155732825338
28,Mississippi,1456,3516,1695,3432,2016,0.2928399034593725,0.7071600965406275,0.6693973083674664,0.33060269163253364
29,Missouri,2162,4845,2055,5063,2016,0.30854859426288,0.69145140573712,0.711295307670694,0.288704692329306
30,Montana,1640,4240,1362,4602,2016,0.2789115646258503,0.7210884353741497,0.7716297786720322,0.2283702213279678
31,Nebraska,4224,10811,3968,11201,2016,0.2809444629198537,0.7190555370801464,0.7384138703935659,0.2615861296064342
32,Nevada,1483,2791,1045,3296,2016,0.34698175011698645,0.6530182498830136,0.7592720571296936,0.24072794287030638
33,New Hampshire,1884,4454,1418,4994,2016,0.29725465446513094,0.702745345534869,0.7788521522145976,0.22114784778540236
34,New Jersey,2131,5375,2337,5295,2016,0.28390620836664004,0.71609379163336,0.6937893081761006,0.3062106918238994
35,New Mexico,1849,4105,1378,4642,2016,0.31054753107154853,0.6894524689284515,0.7710963455149502,0.22890365448504985
36,New York,10926,22579,8966,25150,2016,0.32610058200268616,0.6738994179973138,0.7371907609332864,0.26280923906671355
37,North Carolina,1986,4460,1602,4926,2016,0.3080980452994105,0.6919019547005895,0.7545955882352942,0.24540441176470587
38,North Dakota,1553,4100,1408,4321,2016,0.2747213868742261,0.7252786131257739,0.7542328504101937,0.24576714958980625
39,Ohio,3671,8532,3740,8626,2016,0.300827665328198,0.6991723346718021,0.6975578198285621,0.3024421801714378
40,Oklahoma,2054,4727,2161,4751,2016,0.302905176227695,0.6970948237723049,0.6873553240740741,0.31264467592592593
41,Oregon,2073,3256,903,4523,2016,0.38900356539688496,0.610996434603115,0.8335790637670476,0.16642093623295245
42,Pennsylvania,2462,4267,1538,5263,2016,0.3658790310595928,0.6341209689404071,0.773856785766799,0.226143214233201
44,Rhode Island,1785,3589,1398,4044,2016,0.33215481950130255,0.6678451804986975,0.743109151047409,0.25689084895259096
45,South Carolina,3561,7479,3311,7908,2016,0.32255434782608694,0.6774456521739131,0.7048756573669668,0.2951243426330332
46,South Dakota,1480,4204,1156,4606,2016,0.2603800140745954,0.7396199859254047,0.799375216938563,0.200624783061437
47,Tennessee,1991,4047,1874,4285,2016,0.3297449486584962,0.6702550513415038,0.6957298262704985,0.30427017372950155
48,Texas,3283,8186,3370,8318,2016,0.2862498910105502,0.7137501089894498,0.7116700889801506,0.2883299110198494
49,Utah,3891,6938,1967,9008,2016,0.3593129559516114,0.6406870440483886,0.8207744874715261,0.1792255125284738
50,Vermont,2141,4312,1333,5192,2016,0.3317836665117,0.6682163334883,0.7957088122605364,0.20429118773946361
51,Virginia,2612,6250,2170,6818,2016,0.2947415933197924,0.7052584066802077,0.7585669781931464,0.24143302180685358
53,Washington,4815,9268,2524,11704,2016,0.3419015834694312,0.6580984165305688,0.8226033174023053,0.1773966825976947
54,West Virginia,2362,4676,2048,5097,2016,0.33560670645069623,0.6643932935493038,0.7133659902029391,0.2866340097970609
55,Wisconsin,1683,3545,1137,4133,2016,0.321920428462127,0.678079571537873,0.7842504743833018,0.2157495256166983
56,Wyoming,1207,3232,1176,3307,2016,0.2719080874070737,0.7280919125929264,0.7376756636181129,0.2623243363818871
66,Guam,472,1095,428,1150,2016,0.30121250797702614,0.6987874920229739,0.7287705956907478,0.27122940430925224
72,Puerto Rico,1297,4416,2475,3315,2016,0.22702608086819534,0.7729739191318047,0.572538860103627,0.4274611398963731
1,Alabama,2579,5206,2418,4851,2015,0.33127809890815674,0.6687219010918433,0.6673545191910855,0.3326454808089146
2,Alaska,1196,2372,772,2648,2015,0.3352017937219731,0.6647982062780269,0.7742690058479532,0.22573099415204678
4,Arizona,2366,5425,1727,5439,2015,0.3036837376460018,0.6963162623539982,0.7590008372871895,0.2409991627128105
5,Arkansas,1545,3574,1769,2958,2015,0.30181676108614963,0.6981832389138504,0.6257668711656442,0.37423312883435583
