FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_alcohol,have_alcohol,no_smoker,smoker,year
11,District of Columbia,1202,2642,1427,2310,3319,556,2009
12,Florida,3134,8619,6491,4925,9902,2080,2009
13,Georgia,1538,4223,3452,2186,4911,954,2009
15,Hawaii,1862,4780,3305,3247,5691,964,2009
16,Idaho,1661,3654,3129,2106,4579,791,2009
17,Illinois,2067,3752,2620,3127,4895,942,2009
18,Indiana,3023,6071,5216,3740,7301,1943,2009
19,Iowa,1545,4396,2819,3040,5131,882,2009
20,Kansas,5216,13486,10343,8178,15828,3019,2009
21,Kentucky,3410,6126,6906,2444,7308,2311,2009
22,Louisiana,2501,6264,5247,3425,7158,1698,2009
23,Maine,2598,5344,3625,4263,6800,1238,2009
24,Maryland,2603,5837,3890,4434,7333,1221,2009
25,Massachusetts,5276,11121,6910,8704,13957,2676,2009
26,Michigan,2974,6129,4580,4337,7548,1666,2009
27,Minnesota,1602,3981,2355,3200,4806,791,2009
28,Mississippi,3293,7704,7831,3077,9032,2123,2009
29,Missouri,1647,3353,2868,2047,3989,1053,2009
30,Montana,2352,5154,3441,3947,6328,1268,2009
31,Nebraska,4298,11435,7832,7692,13722,2222,2009
32,Nevada,1268,2523,1819,1897,3058,774,2009
33,New Hampshire,1862,4069,2331,3489,5123,836,2009
34,New Jersey,3640,8385,5285,6412,10457,1864,2009
35,New Mexico,2850,5865,4728,3826,7330,1483,2009
36,New York,2224,4562,2959,3715,5782,1102,2009
37,North Carolina,4026,9042,7793,5128,10826,2393,2009
38,North Dakota,1274,3424,2062,2543,3938,810,2009
39,Ohio,3131,6519,5049,4459,7969,1764,2009
40,Oklahoma,2527,5197,4983,2700,6100,1723,2009
41,Oregon,1245,2993,1824,2248,3645,626,2009
42,Pennsylvania,2834,6169,4513,4372,7463,1677,2009
44,Rhode Island,2010,4213,2591,3540,5360,919,2009
45,South Carolina,2811,6757,6027,3509,8091,1698,2009
46,South Dakota,1669,5070,3345,3276,5668,1149,2009
47,Tennessee,1388,4122,4337,1012,4567,999,2009
48,Texas,3633,7748,6111,5141,9841,1703,2009
49,Utah,3527,6470,7307,2639,9182,947,2009
50,Vermont,2165,4398,2555,3945,5707,921,2009
51,Virginia,1375,3703,2687,2230,4224,924,2009
53,Washington,6290,13728,8878,10764,17349,2819,2009
54,West Virginia,1326,3435,3613,1139,3731,1077,2009
55,Wisconsin,1456,3061,1695,2643,3790,760,2009
56,Wyoming,1817,4148,2903,2990,5002,1038,2009
66,Guam,261,986,854,395,986,278,2009
72,Puerto Rico,920,3216,3364,745,3885,351,2009
1,Alabama,2217,4117,4390,1933,5247,1224,2008
2,Alaska,830,1736,1223,1326,2044,603,2008
4,Arizona,1871,4204,3223,2727,5184,950,2008
5,Arkansas,1680,3892,3661,1905,4542,1122,2008
6,California,4163,7332,5005,6089,10168,1422,2008
8,Colorado,3636,7960,4486,6524,9918,1794,2008
9,Connecticut,1948,4128,2442,3546,5271,854,2008
10,Delaware,1187,2799,1955,2003,3319,692,2008
11,District of Columbia,1326,2846,1632,2502,3585,631,2008
12,Florida,2975,7660,5903,4468,8719,2092,2008
13,Georgia,1679,3928,3400,2148,4737,957,2008
15,Hawaii,1966,4421,3256,3111,5507,916,2008
16,Idaho,1691,3341,2845,2165,4294,801,2008
17,Illinois,1843,3289,2311,2787,4241,913,2008
18,Indiana,1574,3240,2683,2080,3769,1108,2008
19,Iowa,1659,4227,2776,3082,5010,989,2008
